210,A,3,A1,2,1
210,A,2,A1,3,-1
210,A1,2,A1,3,-1
211,A,1,B,0,1
211,A,5,B,0,1
211,A,1,B,4,1
211,A,5,B,4,1
211,B,0,B,6,-1
211,B,4,B,6,-1
211,A,1,B1,0,1
211,A,5,B1,0,1
211,B,6,B1,0,1
214,B,0,B,2,1
214,B,1,B,3,1
214,A,0,E,0,7
214,A,1,E,1,7
214,B,7,E,1,7
214,A,3,E,3,7
214,A,0,E,4,7
214,E,3,F,3,-7
220,B,1,B,5,1
224,A,3,B,0,3
224,D,0,D,2,1
224,C,1,G,1,-2
224,C,5,G,1,-2
224,C,7,G,3,1
224,D,7,G,3,1
224,C,1,G,5,-2
224,C,5,G,5,-2
226,A,6,B,2,1
226,B,2,B,6,-1
226,C,1,C,3,-1
226,C,3,C,5,1
226,B,2,C,6,-1
228,A,0,A,2,-1
233,A,2,B,2,1
234,A,4,B,4,5
234,A,2,D,4,5
239,B,3,B,7,-4
243,A,0,B,1,5
243,A,4,B,1,5
244,A,7,B,2,-3
244,B,0,B,3,-4
244,B,3,B,7,4
244,A,7,C,1,-3
244,B,0,C,2,-4
244,B,7,C,2,-4
245,A,7,C,3,7
245,B,3,C,3,7
245,B,7,C,3,7
245,C,3,C,7,-7
248,A,0,B,0,7
251,B,3,B,7,-1
254,B,0,B,2,-1
254,B,1,B,2,-1
254,B,0,B,3,-1
254,B,1,B,3,-1
254,B,4,B,5,2
255,A,2,A,4,1
255,B,0,B,2,-1
255,B,1,B,3,-1
255,B,2,B,4,1
255,B,3,B,5,1
255,B,2,B1,0,1
255,B,3,B1,1,1
255,B,0,B1,2,-1
255,B,4,B1,2,-1
255,B1,0,B1,2,-1
255,B,1,B1,3,-1
255,B,5,B1,3,-1
255,B1,1,B1,3,-1
255,B1,4,B1,5,2
257,B,0,B,1,-1
257,B,1,B,4,1
257,F,4,F,5,-2
257,F,4,F,6,-4
257,F,5,F,6,-2
257,F,4,H,1,1
257,F,5,H,1,3
257,F,6,H,1,5
257,B,3,H,3,-4
257,D,3,H,3,-4
257,E,3,H,3,-4
257,F,3,H,3,-4
257,B,3,I,3,-4
257,D,3,I,3,-4
257,E,3,I,3,-4
257,F,3,I,3,-4
257,D,0,J,1,-7
257,D,4,J,1,-7
257,E,0,J,1,-7
257,K,0,K,1,1
257,K,1,K,2,-1
257,K,1,K,4,-1
258,A,6,C,0,8
258,A,6,C,2,8
258,A,3,C,3,7
258,A,6,C,4,8
258,A,6,C,6,7
258,C,0,C,6,-1
258,C,2,C,6,-1
258,C,4,C,6,-1
258,A,7,C,7,7
258,C,5,D,1,-1
258,D,0,D,1,-1
258,D,1,D,2,1
258,A,3,D,3,7
258,D,1,D,4,1
259,B,0,B,2,-4
274,C,4,C,6,-6
275,A,3,B,3,7
287,B,0,B,2,1
287,B,1,B,3,1
287,B,2,B,4,-1
287,D,0,D,2,1
287,D,2,D,4,-1
290,A,0,B,4,7
290,A,4,B,4,7
290,C,0,C,2,-1
290,C,1,C,3,-1
290,C,2,C,4,1
293,B,0,B,2,-1
293,B,2,B,4,1
294,A,3,A,5,1
295,B,1,B,3,-3
299,A,1,A,3,-2
299,A,1,B,3,-2
299,B,7,D,1,3
299,D,3,D,7,-1
304,A,2,B,2,7
304,A,3,B,3,7
304,A,2,B1,2,7
304,A,3,B1,3,7
306,B,0,B,1,-1
306,B,1,B,4,1
306,B,0,B,5,-1
306,B,4,B,5,-1
306,B,1,B1,0,1
306,B,5,B1,0,1
306,B,0,B1,1,-1
306,B,4,B1,1,-1
306,B1,0,B1,1,-1
306,B,1,B1,4,1
306,B,5,B1,4,1
306,B1,1,B1,4,1
306,B,0,B1,5,-1
306,B,4,B1,5,-1
306,B1,0,B1,5,-1
306,B1,4,B1,5,-1
306,C,0,C,1,2
306,C,1,C,4,-2
306,C,1,C1,0,-2
306,C,0,C1,1,2
306,C,4,C1,1,2
306,C1,0,C1,1,2
306,C,1,C1,4,-2
306,C1,1,C1,4,-2
313,B,0,B,1,1
313,B,1,B,2,-1
313,B,1,B,4,-1
313,B,0,B,5,1
313,B,2,B,5,1
313,B,4,B,5,1
313,B,1,C,0,-1
313,B,5,C,0,-1
313,B,0,C,1,1
313,B,2,C,1,1
313,B,4,C,1,1
313,C,0,C,1,1
313,B,1,C,2,-1
313,B,5,C,2,-1
313,C,1,C,2,-1
313,C,4,C,5,1
317,A,1,A,3,1
317,A,3,A,5,-1
317,A,1,B,3,4
317,A,3,B,3,3
317,A,5,B,3,4
318,B,1,B,3,-3
318,B,3,B,5,3
318,B,1,B,7,-3
318,B,5,B,7,-3
318,B,3,B1,1,3
318,B,7,B1,1,3
318,B,1,B1,3,-3
318,B,5,B1,3,-3
318,B1,1,B1,3,-3
318,B,3,B1,5,3
318,B,7,B1,5,3
318,B1,3,B1,5,3
327,C,5,C,6,-2
327,C,6,C1,5,2
327,C,5,C1,6,-2
327,C1,5,C1,6,-2
330,B,0,C1,4,2
333,A,3,B,3,5
333,A1,3,B,3,5
333,A,3,B1,3,5
333,A1,3,B1,3,5
335,B,0,B,2,-1
335,B,1,B,3,-1
335,A,3,B,5,7
336,A,0,A,1,-1
336,A,1,A,4,1
338,B,3,B,6,2
338,B,3,D,6,2
342,C,4,C,5,-2
345,B,0,B,2,-1
351,A,1,A,3,-1
351,A,3,A,5,1
352,A,5,D,0,-1
352,B,5,D,0,-1
355,A,6,B,4,9
357,A,0,A,2,1
358,B,0,B,2,1
364,A,0,B,4,2
